exp.name,ip,input,layout,description
CTNNB1.3,SRR650389,SRR650389,SINGLE,TF
CTR9.1,SRR036739,SRR036739,SINGLE,TF
CTR9.2,SRR643531,SRR643531,SINGLE,TF
CTR9.3,SRR643553,SRR643553,SINGLE,TF
CXXC1.1,SRR1270144,SRR1270144,SINGLE,TF
DAXX.1,SRR1508939,SRR1508939,SINGLE,TF
DAXX.2,SRR1508940,SRR1508940,SINGLE,TF
DAXX.3,SRR1508941,SRR1508941,SINGLE,TF
DNMT3A.1,SRR1274746,SRR1274746,SINGLE,TF
DNMT3A.10,SRR1283901,SRR1283901,SINGLE,TF
DNMT3A.2,SRR1274747,SRR1274747,SINGLE,TF
DNMT3B.1,SRR1274762,SRR1274762,SINGLE,TF
DNMT3B.2,SRR1653164,SRR1653164,SINGLE,TF
DNMT3L.1,SRR942886,SRR942886,SINGLE,TF
DNMT3L.2,SRR942887,SRR942887,SINGLE,TF
DPPA2.1,SRR1303614,SRR1303614,SINGLE,TF
DPY30.1,SRR167662,SRR167662,SINGLE,TF
DZIP3.1,SRR2153398,SRR2153398,SINGLE,TF
EED.1,SRR993727,SRR993727,SINGLE,TF
EED.2,SRR993733,SRR993733,SINGLE,TF
EED.3,SRR1055420,SRR1055420,SINGLE,TF
EHMT2.1,SRR976064,SRR976064,SINGLE,TF
EHMT2.2,SRR976065,SRR976065,SINGLE,TF
ELL.1,SRR392622,SRR392622,SINGLE,TF
ELL2.1,SRR299136,SRR299136,SINGLE,TF
ELL2.2,SRR299131,SRR299131,SINGLE,TF
ELL3.1,SRR499925,SRR499925,SINGLE,TF
EP300.1,SRR172850,SRR172850,SINGLE,TF
EP300.10,SRR587320,SRR587320,SINGLE,TF
EP300.11,SRR587328,SRR587328,SINGLE,TF
EP400.1,SRR1033757,SRR1033757,SINGLE,TF
EP400.2,SRR1033758,SRR1033758,SINGLE,TF
EP400.3,SRR1952446,SRR1952446,SINGLE,TF
ESRRB.2,SRR1201335,SRR1201335,SINGLE,TF
ESRRB.3,SRR1201336,SRR1201336,SINGLE,TF
ESRRB.4,SRR1201337,SRR1201337,SINGLE,TF
ETV2.1,SRR1514691,SRR1514691,SINGLE,TF
ETV2.2,SRR1514692,SRR1514692,SINGLE,TF
ETV2.3,SRR1514693,SRR1514693,SINGLE,TF
EZH2.10,SRR944120,SRR944120,SINGLE,TF
EZH2.11,SRR944126,SRR944126,SINGLE,TF
EZH2.12,SRR643532,SRR643532,SINGLE,TF
